PROVINCE,SECTOR,YEAR_MONTH,YEAR,TRADE_PARTNER,EXPORT,IMPORT,NET_TRADE
Alberta,"Basic and industrial chemical, plastic and rubber products",2019-10-01,2019,United States,457373000.0,659105000.0,-201732000.0
Alberta,"Basic and industrial chemical, plastic and rubber products",2019-11-01,2019,United States,409097000.0,748119000.0,-339022000.0
Alberta,"Basic and industrial chemical, plastic and rubber products",2019-12-01,2019,United States,571520000.0,596235000.0,-24715000.0
Alberta,"Basic and industrial chemical, plastic and rubber products",2020-01-01,2020,United States,516573000.0,726755000.0,-210182000.0
Alberta,"Basic and industrial chemical, plastic and rubber products",2020-02-01,2020,United States,508257000.0,915059000.0,-406802000.0
Alberta,"Basic and industrial chemical, plastic and rubber products",2020-03-01,2020,United States,643586000.0,711210000.0,-67624000.0
Alberta,"Basic and industrial chemical, plastic and rubber products",2020-04-01,2020,United States,500815000.0,621352000.0,-120537000.0
Alberta,"Basic and industrial chemical, plastic and rubber products",2020-05-01,2020,United States,474038000.0,330677000.0,143361000.0
Alberta,"Basic and industrial chemical, plastic and rubber products",2020-06-01,2020,United States,445917000.0,356023000.0,89894000.0
Alberta,"Basic and industrial chemical, plastic and rubber products",2020-07-01,2020,United States,430096000.0,390087000.0,40009000.0
Alberta,"Basic and industrial chemical, plastic and rubber products",2020-08-01,2020,United States,456487000.0,320208000.0,136279000.0
Alberta,"Basic and industrial chemical, plastic and rubber products",2020-09-01,2020,United States,471901000.0,469240000.0,2661000.0
Alberta,"Basic and industrial chemical, plastic and rubber products",2020-10-01,2020,United States,504270000.0,439015000.0,65255000.0
Alberta,"Basic and industrial chemical, plastic and rubber products",2020-11-01,2020,United States,485240000.0,417743000.0,67497000.0
Alberta,"Basic and industrial chemical, plastic and rubber products",2020-12-01,2020,United States,530401000.0,443892000.0,86509000.0
Alberta,"Basic and industrial chemical, plastic and rubber products",2021-01-01,2021,United States,592373000.0,521728000.0,70645000.0
Alberta,"Basic and industrial chemical, plastic and rubber products",2021-02-01,2021,United States,559708000.0,669425000.0,-109717000.0
Alberta,"Basic and industrial chemical, plastic and rubber products",2021-03-01,2021,United States,741449000.0,698279000.0,43170000.0
Alberta,"Basic and industrial chemical, plastic and rubber products",2021-04-01,2021,United States,722989000.0,653616000.0,69373000.0
Alberta,"Basic and industrial chemical, plastic and rubber products",2021-05-01,2021,United States,746492000.0,787924000.0,-41432000.0
Alberta,"Basic and industrial chemical, plastic and rubber products",2021-06-01,2021,United States,738150000.0,786512000.0,-48362000.0
Alberta,"Basic and industrial chemical, plastic and rubber products",2021-07-01,2021,United States,811116000.0,729872000.0,81244000.0
Alberta,"Basic and industrial chemical, plastic and rubber products",2021-08-01,2021,United States,791895000.0,773698000.0,18197000.0
Alberta,"Basic and industrial chemical, plastic and rubber products",2021-09-01,2021,United States,706353000.0,748855000.0,-42502000.0
Alberta,"Basic and industrial chemical, plastic and rubber products",2021-10-01,2021,United States,777064000.0,684493000.0,92571000.0
Alberta,"Basic and industrial chemical, plastic and rubber products",2021-11-01,2021,United States,793961000.0,814094000.0,-20133000.0
Alberta,"Basic and industrial chemical, plastic and rubber products",2021-12-01,2021,United States,696795000.0,934326000.0,-237531000.0
Alberta,"Basic and industrial chemical, plastic and rubber products",2022-01-01,2022,United States,809573000.0,863929000.0,-54356000.0
Alberta,"Basic and industrial chemical, plastic and rubber products",2022-02-01,2022,United States,753781000.0,786913000.0,-33132000.0
Alberta,"Basic and industrial chemical, plastic and rubber products",2022-03-01,2022,United States,902828000.0,965836000.0,-63008000.0
Alberta,"Basic and industrial chemical, plastic and rubber products",2022-04-01,2022,United States,918560000.0,1056715000.0,-138155000.0
Alberta,"Basic and industrial chemical, plastic and rubber products",2022-05-01,2022,United States,913435000.0,1014262000.0,-100827000.0
Alberta,"Basic and industrial chemical, plastic and rubber products",2022-06-01,2022,United States,900321000.0,1153720000.0,-253399000.0
Alberta,"Basic and industrial chemical, plastic and rubber products",2022-07-01,2022,United States,975662000.0,1134713000.0,-159051000.0
Alberta,"Basic and industrial chemical, plastic and rubber products",2022-08-01,2022,United States,839195000.0,1035153000.0,-195958000.0
Alberta,"Basic and industrial chemical, plastic and rubber products",2022-09-01,2022,United States,694646000.0,1070140000.0,-375494000.0
Alberta,"Basic and industrial chemical, plastic and rubber products",2022-10-01,2022,United States,770074000.0,998655000.0,-228581000.0
Alberta,"Basic and industrial chemical, plastic and rubber products",2022-11-01,2022,United States,761457000.0,991599000.0,-230142000.0
Alberta,"Basic and industrial chemical, plastic and rubber products",2022-12-01,2022,United States,706827000.0,1033559000.0,-326732000.0
Alberta,"Basic and industrial chemical, plastic and rubber products",2023-01-01,2023,United States,812572000.0,993267000.0,-180695000.0
Alberta,"Basic and industrial chemical, plastic and rubber products",2023-02-01,2023,United States,809896000.0,976687000.0,-166791000.0
Alberta,"Basic and industrial chemical, plastic and rubber products",2023-03-01,2023,United States,851871000.0,953981000.0,-102110000.0
Alberta,"Basic and industrial chemical, plastic and rubber products",2023-04-01,2023,United States,807830000.0,1049020000.0,-241190000.0
Alberta,"Basic and industrial chemical, plastic and rubber products",2023-05-01,2023,United States,738783000.0,994751000.0,-255968000.0
Alberta,"Basic and industrial chemical, plastic and rubber products",2023-06-01,2023,United States,602869000.0,930951000.0,-328082000.0
