TRADE_PARTNER,YEAR_MONTH,YEAR,PROVINCE,SECTOR,EXPORT,IMPORT,NET_TRADE
United States,2014-02-01,2014,Newfoundland and Labrador,Forestry products,8108000.0,11000.0,8097000.0
United States,2014-02-01,2014,Newfoundland and Labrador,Industrial machinery parts,1238000.0,725000.0,513000.0
United States,2014-02-01,2014,Newfoundland and Labrador,Metal products,283000.0,137000.0,146000.0
United States,2014-02-01,2014,Newfoundland and Labrador,Metal ores,20000.0,0.0,20000.0
United States,2014-02-01,2014,Newfoundland and Labrador,Motor vehicles and parts,62000.0,46000.0,16000.0
United States,2014-02-01,2014,Newfoundland and Labrador,Special transactions trade,2276000.0,68000.0,2208000.0
United States,2014-02-01,2014,Northwest Territories,Aircraft and transportation,0.0,0.0,0.0
United States,2014-02-01,2014,Northwest Territories,Basic products,0.0,0.0,0.0
United States,2014-02-01,2014,Northwest Territories,Consumer goods,9000.0,0.0,9000.0
United States,2014-02-01,2014,Northwest Territories,Electronics related parts,1000.0,0.0,1000.0
United States,2014-02-01,2014,Northwest Territories,Energy products,0.0,0.0,0.0
United States,2014-02-01,2014,Northwest Territories,Farm and fishing products,0.0,0.0,0.0
United States,2014-02-01,2014,Northwest Territories,Forestry products,0.0,0.0,0.0
United States,2014-02-01,2014,Northwest Territories,Industrial machinery parts,16000.0,0.0,16000.0
United States,2014-02-01,2014,Northwest Territories,Metal products,94000.0,0.0,94000.0
United States,2014-02-01,2014,Northwest Territories,Metal ores,0.0,0.0,0.0
United States,2014-02-01,2014,Northwest Territories,Motor vehicles and parts,0.0,0.0,0.0
United States,2014-02-01,2014,Northwest Territories,Special transactions trade,2000.0,0.0,2000.0
United States,2014-02-01,2014,Nova Scotia,Aircraft and transportation,3038000.0,1185000.0,1853000.0
United States,2014-02-01,2014,Nova Scotia,Basic products,24234000.0,1596000.0,22638000.0
United States,2014-02-01,2014,Nova Scotia,Consumer goods,30079000.0,1490000.0,28589000.0
United States,2014-02-01,2014,Nova Scotia,Electronics related parts,7491000.0,1136000.0,6355000.0
United States,2014-02-01,2014,Nova Scotia,Energy products,164662000.0,189353000.0,-24691000.0
United States,2014-02-01,2014,Nova Scotia,Farm and fishing products,42483000.0,554000.0,41929000.0
United States,2014-02-01,2014,Nova Scotia,Forestry products,25001000.0,1299000.0,23702000.0
United States,2014-02-01,2014,Nova Scotia,Industrial machinery parts,7468000.0,1418000.0,6050000.0
United States,2014-02-01,2014,Nova Scotia,Metal products,8020000.0,291000.0,7729000.0
United States,2014-02-01,2014,Nova Scotia,Metal ores,3475000.0,31000.0,3444000.0
United States,2014-02-01,2014,Nova Scotia,Motor vehicles and parts,91582000.0,227000.0,91355000.0
United States,2014-02-01,2014,Nova Scotia,Special transactions trade,3746000.0,481000.0,3265000.0
United States,2014-02-01,2014,Nunavut,Aircraft and transportation,0.0,0.0,0.0
United States,2014-02-01,2014,Nunavut,Basic products,0.0,0.0,0.0
United States,2014-02-01,2014,Nunavut,Consumer goods,23000.0,0.0,23000.0
United States,2014-02-01,2014,Nunavut,Electronics related parts,0.0,0.0,0.0
United States,2014-02-01,2014,Nunavut,Energy products,0.0,0.0,0.0
United States,2014-02-01,2014,Nunavut,Farm and fishing products,0.0,0.0,0.0
United States,2014-02-01,2014,Nunavut,Forestry products,0.0,0.0,0.0
United States,2014-02-01,2014,Nunavut,Industrial machinery parts,0.0,0.0,0.0
United States,2014-02-01,2014,Nunavut,Metal products,0.0,0.0,0.0
United States,2014-02-01,2014,Nunavut,Metal ores,0.0,0.0,0.0
United States,2014-02-01,2014,Nunavut,Motor vehicles and parts,0.0,0.0,0.0
United States,2014-02-01,2014,Nunavut,Special transactions trade,2000.0,0.0,2000.0
United States,2014-02-01,2014,Ontario,Aircraft and transportation,167826000.0,175212000.0,-7386000.0
United States,2014-02-01,2014,Ontario,Basic products,788258000.0,1107819000.0,-319561000.0
United States,2014-02-01,2014,Ontario,Consumer goods,1342771000.0,2079008000.0,-736237000.0
United States,2014-02-01,2014,Ontario,Electronics related parts,394729000.0,892979000.0,-498250000.0
United States,2014-02-01,2014,Ontario,Energy products,185247000.0,512797000.0,-327550000.0
United States,2014-02-01,2014,Ontario,Farm and fishing products,194268000.0,430199000.0,-235931000.0
United States,2014-02-01,2014,Ontario,Forestry products,513963000.0,682848000.0,-168885000.0
United States,2014-02-01,2014,Ontario,Industrial machinery parts,739309000.0,1176762000.0,-437453000.0
United States,2014-02-01,2014,Ontario,Metal products,1039237000.0,947770000.0,91467000.0
United States,2014-02-01,2014,Ontario,Metal ores,16882000.0,94934000.0,-78052000.0
United States,2014-02-01,2014,Ontario,Motor vehicles and parts,4730832000.0,3922665000.0,808167000.0
United States,2014-02-01,2014,Ontario,Special transactions trade,168648000.0,430506000.0,-261858000.0
United States,2014-02-01,2014,Prince Edward Island,Aircraft and transportation,3534000.0,0.0,3534000.0
United States,2014-02-01,2014,Prince Edward Island,Basic products,942000.0,6645000.0,-5703000.0
United States,2014-02-01,2014,Prince Edward Island,Consumer goods,17270000.0,35000.0,17235000.0
United States,2014-02-01,2014,Prince Edward Island,Electronics related parts,330000.0,0.0,330000.0
United States,2014-02-01,2014,Prince Edward Island,Energy products,7000.0,0.0,7000.0
United States,2014-02-01,2014,Prince Edward Island,Farm and fishing products,11046000.0,0.0,11046000.0
United States,2014-02-01,2014,Prince Edward Island,Forestry products,140000.0,5000.0,135000.0
United States,2014-02-01,2014,Prince Edward Island,Industrial machinery parts,1202000.0,6000.0,1196000.0
United States,2014-02-01,2014,Prince Edward Island,Metal products,80000.0,3000.0,77000.0
United States,2014-02-01,2014,Prince Edward Island,Metal ores,175000.0,0.0,175000.0
United States,2014-02-01,2014,Prince Edward Island,Motor vehicles and parts,112000.0,0.0,112000.0
United States,2014-02-01,2014,Prince Edward Island,Special transactions trade,6205000.0,7000.0,6198000.0
United States,2014-02-01,2014,Québec,Aircraft and transportation,416898000.0,396028000.0,20870000.0
United States,2014-02-01,2014,Québec,Basic products,264675000.0,197380000.0,67295000.0
United States,2014-02-01,2014,Québec,Consumer goods,598867000.0,195533000.0,403334000.0
United States,2014-02-01,2014,Québec,Electronics related parts,227460000.0,253993000.0,-26533000.0
United States,2014-02-01,2014,Québec,Energy products,375323000.0,618006000.0,-242683000.0
United States,2014-02-01,2014,Québec,Farm and fishing products,83673000.0,47382000.0,36291000.0
United States,2014-02-01,2014,Québec,Forestry products,578516000.0,154807000.0,423709000.0
United States,2014-02-01,2014,Québec,Industrial machinery parts,214812000.0,125357000.0,89455000.0
United States,2014-02-01,2014,Québec,Metal products,825390000.0,195432000.0,629958000.0
United States,2014-02-01,2014,Québec,Metal ores,59065000.0,30452000.0,28613000.0
United States,2014-02-01,2014,Québec,Motor vehicles and parts,186387000.0,173058000.0,13329000.0
United States,2014-02-01,2014,Québec,Special transactions trade,65492000.0,79735000.0,-14243000.0
United States,2014-02-01,2014,Saskatchewan,Aircraft and transportation,129000.0,12384000.0,-12255000.0
United States,2014-02-01,2014,Saskatchewan,Basic products,25695000.0,104906000.0,-79211000.0
United States,2014-02-01,2014,Saskatchewan,Consumer goods,7538000.0,42836000.0,-35298000.0
United States,2014-02-01,2014,Saskatchewan,Electronics related parts,8254000.0,39951000.0,-31697000.0
United States,2014-02-01,2014,Saskatchewan,Energy products,998614000.0,18178000.0,980436000.0
United States,2014-02-01,2014,Saskatchewan,Farm and fishing products,319055000.0,11323000.0,307732000.0
United States,2014-02-01,2014,Saskatchewan,Forestry products,17261000.0,29454000.0,-12193000.0
United States,2014-02-01,2014,Saskatchewan,Industrial machinery parts,42742000.0,273474000.0,-230732000.0
United States,2014-02-01,2014,Saskatchewan,Metal products,12364000.0,63362000.0,-50998000.0
United States,2014-02-01,2014,Saskatchewan,Metal ores,201035000.0,2703000.0,198332000.0
United States,2014-02-01,2014,Saskatchewan,Motor vehicles and parts,5521000.0,128856000.0,-123335000.0
United States,2014-02-01,2014,Saskatchewan,Special transactions trade,4677000.0,1866000.0,2811000.0
United States,2014-02-01,2014,Yukon,Aircraft and transportation,0.0,85000.0,-85000.0
United States,2014-02-01,2014,Yukon,Basic products,0.0,10000.0,-10000.0
United States,2014-02-01,2014,Yukon,Consumer goods,2000.0,86000.0,-84000.0
United States,2014-02-01,2014,Yukon,Electronics related parts,0.0,283000.0,-283000.0
United States,2014-02-01,2014,Yukon,Energy products,0.0,1835000.0,-1835000.0
United States,2014-02-01,2014,Yukon,Farm and fishing products,0.0,0.0,0.0
United States,2014-02-01,2014,Yukon,Forestry products,37000.0,66000.0,-29000.0
United States,2014-02-01,2014,Yukon,Industrial machinery parts,15000.0,493000.0,-478000.0
United States,2014-02-01,2014,Yukon,Metal products,0.0,219000.0,-219000.0
